x,y,z,sample,pop,super_pop,gender,color
-1.573658051073798,-1.8783829589392893,-0.8917855737989228,HG00096,GBR,EUR,male,#1F51FF
-1.7650327212058037,-1.803888636388748,-0.464070351043417,HG00097,GBR,EUR,female,#1F51FF
-1.8639866093089232,-1.9380993962410464,-0.3693738851051322,HG00099,GBR,EUR,female,#1F51FF
-2.5030453162250987,-2.249274514956036,-0.5399167778120099,HG00100,GBR,EUR,female,#1F51FF
-2.1364279952147336,-2.139968213520933,-0.4971561246572353,HG00101,GBR,EUR,male,#1F51FF
-2.0209897348812302,-2.4261715687756658,-0.7793081046956596,HG00102,GBR,EUR,female,#1F51FF
-1.944212653979052,-2.527883475933612,-0.5979009755573629,HG00103,GBR,EUR,male,#1F51FF
-2.2798187772130603,-1.965454956831729,-0.9456466775199404,HG00105,GBR,EUR,male,#1F51FF
-1.88422845099729,-2.035835048917402,-0.6863103674138288,HG00106,GBR,EUR,female,#1F51FF
-1.809090112270444,-2.005256650559517,-0.4285800665186216,HG00107,GBR,EUR,male,#1F51FF
-1.775286725323982,-2.067087951164692,-0.477361393667096,HG00108,GBR,EUR,male,#1F51FF
-2.5489471666973205,-1.3526772444832351,-0.0941879185026946,HG00109,GBR,EUR,male,#1F51FF
-1.9032373007454888,-2.776248241015656,-1.090768937376222,HG00110,GBR,EUR,female,#1F51FF
-2.1637158295502017,-2.877107689198384,-1.0968794130835005,HG00111,GBR,EUR,female,#1F51FF
-2.3675831145777937,-2.502594013767464,-0.6795446982728113,HG00112,GBR,EUR,male,#1F51FF
-2.163197973491612,-2.5832973648621733,-0.8146738022983679,HG00113,GBR,EUR,male,#1F51FF
-2.0146873581205904,-2.341016705160752,-1.0327446608052653,HG00114,GBR,EUR,male,#1F51FF
-1.803666817137605,-1.7937012895225095,-0.9509397093062456,HG00115,GBR,EUR,male,#1F51FF
-1.548563175522481,-1.861865583018856,-0.9574070889768,HG00116,GBR,EUR,male,#1F51FF
-2.167084894576552,-2.271128448313693,-0.7974849956267634,HG00117,GBR,EUR,male,#1F51FF
-2.1598052139017216,-1.700690688212666,-0.2741835365181135,HG00118,GBR,EUR,female,#1F51FF
-1.9301155178614853,-2.1404300192190897,-1.291623463001509,HG00119,GBR,EUR,male,#1F51FF
-1.966808489813171,-2.6120158276567027,-0.3383667847995493,HG00120,GBR,EUR,female,#1F51FF
-1.9648152013565965,-1.839544623247212,-0.3500631783592756,HG00121,GBR,EUR,female,#1F51FF
-1.7588290186262154,-1.9638215368817569,-1.2461938478405752,HG00122,GBR,EUR,female,#1F51FF
-2.105411499974229,-2.162294147425285,-0.8006212538612333,HG00123,GBR,EUR,female,#1F51FF
-1.481963516611691,-2.609887224455232,-0.4004961487427146,HG00125,GBR,EUR,female,#1F51FF
-2.0877305256309966,-2.389424340942228,-0.986591786484836,HG00126,GBR,EUR,male,#1F51FF
-1.6337373280057872,-2.256540387132723,-0.8276602883749866,HG00127,GBR,EUR,female,#1F51FF
-2.1242609205519463,-2.5725044297510102,-0.6549515343798629,HG00128,GBR,EUR,female,#1F51FF
-1.6346929692081895,-2.222369655098619,-0.6806392008073382,HG00129,GBR,EUR,male,#1F51FF
-2.09024220255051,-1.6608318877549928,-1.1431761105782186,HG00130,GBR,EUR,female,#1F51FF
-1.9468945811433207,-2.405363783521719,-1.1200372190039307,HG00131,GBR,EUR,male,#1F51FF
-1.866322937715661,-2.1772855332317365,-1.352389200109522,HG00132,GBR,EUR,female,#1F51FF
-2.1364733055516862,-2.3704290022748244,-0.6407839638282414,HG00133,GBR,EUR,female,#1F51FF
-1.8403166392727297,-2.289306045003765,-0.0070850733354166,HG00136,GBR,EUR,male,#1F51FF
-1.412296856257686,-2.7011973799587503,-0.3609875896612168,HG00137,GBR,EUR,female,#1F51FF
-2.2394615723223343,-2.577393711547453,-0.6448073449713533,HG00138,GBR,EUR,male,#1F51FF
-1.8582200478594555,-1.7712061848788103,-1.0024218525462385,HG00139,GBR,EUR,male,#1F51FF
-1.50099593831918,-2.701602199309634,-1.1301964742679105,HG00140,GBR,EUR,male,#1F51FF
-1.4212852874649142,-1.6639692826571482,-0.5357911924469891,HG00141,GBR,EUR,male,#1F51FF
-1.8647746234418328,-1.7461009748626708,-1.1217747119749166,HG00142,GBR,EUR,male,#1F51FF
-1.401585054045687,-1.987536933817074,-0.3115039519685546,HG00143,GBR,EUR,male,#1F51FF
-2.2190692102243057,-2.306859773265774,-1.2698293167195445,HG00145,GBR,EUR,male,#1F51FF
-1.1801463166674504,-2.384884084091952,-0.9976389311408008,HG00146,GBR,EUR,female,#1F51FF
-2.3285162115772224,-1.982417887996536,-0.4635889479548734,HG00148,GBR,EUR,male,#1F51FF
-1.8452236514669067,-2.5792850679331547,-0.3402209641702871,HG00149,GBR,EUR,male,#1F51FF
-2.101112193509694,-2.141837886405625,-0.8621530648880995,HG00150,GBR,EUR,female,#1F51FF
-1.7904888208707477,-2.4908724168048235,-1.2533717045223225,HG00151,GBR,EUR,male,#1F51FF
-1.517242220053577,-1.843734348874544,-1.1301284120252528,HG00154,GBR,EUR,female,#1F51FF
-2.164020979178916,-2.4583597651986024,-0.7243132842977047,HG00155,GBR,EUR,male,#1F51FF
-1.73741969271698,-2.2356411876507574,-1.5088075240579126,HG00157,GBR,EUR,male,#1F51FF
-2.095384423261658,-2.4519061020305624,-1.0406655766164297,HG00158,GBR,EUR,female,#1F51FF
-1.3860253429308054,-2.3460702297235945,-0.4067761836912766,HG00159,GBR,EUR,male,#1F51FF
-2.270201994706796,-2.454627288660429,-0.5707853166261871,HG00160,GBR,EUR,male,#1F51FF
-1.807882085687592,-1.8452877486812604,-0.7064639766340691,HG00171,FIN,EUR,female,#1F51FF
-2.115216508626402,-1.382918838518497,-1.1749198930850058,HG00173,FIN,EUR,female,#1F51FF
-1.6907592014737258,-2.4295476285077244,-1.5306285371044224,HG00174,FIN,EUR,female,#1F51FF
-1.9354563327321133,-2.667724455006433,-0.519187945527952,HG00176,FIN,EUR,female,#1F51FF
-2.2481710632106657,-1.9160056693224536,-1.3681096608724772,HG00177,FIN,EUR,female,#1F51FF
-2.1390635699651948,-1.845839522579097,-0.7472642748952065,HG00178,FIN,EUR,female,#1F51FF
-1.9248666050472,-2.387848893787465,-0.4659642277217626,HG00179,FIN,EUR,female,#1F51FF
-2.524888114155308,-1.9658163824469457,0.2660021026982805,HG00180,FIN,EUR,female,#1F51FF
-1.8773734221399887,-2.833694743336446,-1.4070721703834834,HG00181,FIN,EUR,male,#1F51FF
-2.2406688788630214,-2.656717785538032,-0.5631451455503466,HG00182,FIN,EUR,male,#1F51FF
-1.9673916402526903,-2.100592292912563,-0.1278637768582146,HG00183,FIN,EUR,male,#1F51FF
-2.152830939388388,-2.057864927825752,-0.9417644667706304,HG00185,FIN,EUR,male,#1F51FF
-2.251367931648557,-2.1076329673025387,-0.4145430668425526,HG00186,FIN,EUR,male,#1F51FF
-2.097077257875625,-1.77075098415635,-0.5071827948968414,HG00187,FIN,EUR,male,#1F51FF
-2.5000078890374087,-1.645039065253679,-0.6172748473582312,HG00188,FIN,EUR,male,#1F51FF
