x,y,z,sample,pop,super_pop,gender,color
-1.5736580508793074,-1.8783829193526798,-0.893739636983295,HG00096,GBR,EUR,male,#1F51FF
-1.7650327199904359,-1.8038886459611025,-0.46569665697793516,HG00097,GBR,EUR,female,#1F51FF
-1.8639866084926437,-1.9380994414701287,-0.3721663792234179,HG00099,GBR,EUR,female,#1F51FF
-2.503045316583556,-2.249274509231302,-0.5362246979854434,HG00100,GBR,EUR,female,#1F51FF
-2.136427994753165,-2.139968197852223,-0.4999087787022276,HG00101,GBR,EUR,male,#1F51FF
-2.020989734373193,-2.4261715010950646,-0.779715798997546,HG00102,GBR,EUR,female,#1F51FF
-1.9442126537723157,-2.527883458829014,-0.5981556410200702,HG00103,GBR,EUR,male,#1F51FF
-2.2798187776789773,-1.9654549691012522,-0.9488224869789307,HG00105,GBR,EUR,male,#1F51FF
-1.8842284507180118,-2.035835048351977,-0.6863416472116315,HG00106,GBR,EUR,female,#1F51FF
-1.8090901119063052,-2.005256631059476,-0.42788236762565734,HG00107,GBR,EUR,male,#1F51FF
-1.7752867263779655,-2.0670878795466603,-0.47710642717088,HG00108,GBR,EUR,male,#1F51FF
-2.548947166225948,-1.3526771992122315,-0.09579035887465717,HG00109,GBR,EUR,male,#1F51FF
-1.9032373004161143,-2.7762482502356582,-1.0893295183984075,HG00110,GBR,EUR,female,#1F51FF
-2.163715829543821,-2.8771076782398266,-1.0990001740358977,HG00111,GBR,EUR,female,#1F51FF
-2.3675831143356674,-2.5025939957054772,-0.67838434264693,HG00112,GBR,EUR,male,#1F51FF
-2.1631979733344404,-2.5832973800322283,-0.8139760522267988,HG00113,GBR,EUR,male,#1F51FF
-2.0146873577895175,-2.341016659316589,-1.0330081015478563,HG00114,GBR,EUR,male,#1F51FF
-1.8036668169653076,-1.7937012614009304,-0.9499405257902974,HG00115,GBR,EUR,male,#1F51FF
-1.5485631756762843,-1.8618655568951967,-0.957866555500979,HG00116,GBR,EUR,male,#1F51FF
-2.1670848945005043,-2.2711284762125374,-0.7974119875347906,HG00117,GBR,EUR,male,#1F51FF
-2.15980521395692,-1.7006906694243489,-0.2733503390712089,HG00118,GBR,EUR,female,#1F51FF
