x,y,z,sample,pop,super_pop,gender,color
-1.5736580510089702,-1.8783829536344476,-0.8917722033497255,HG00096,GBR,EUR,male,#1F51FF
-1.7650327202135214,-1.8038885624133079,-0.4685410628023711,HG00097,GBR,EUR,female,#1F51FF
-1.863986609193759,-1.9380994151983668,-0.36947981245870976,HG00099,GBR,EUR,female,#1F51FF
-2.5030453163159887,-2.2492745020558083,-0.5384459562846532,HG00100,GBR,EUR,female,#1F51FF
-2.1364279948039315,-2.1399681712836243,-0.4995929346554152,HG00101,GBR,EUR,male,#1F51FF
-2.020989734184218,-2.4261715195852656,-0.7777961572682434,HG00102,GBR,EUR,female,#1F51FF
-1.9442126538638251,-2.5278834394858913,-0.5976469583259529,HG00103,GBR,EUR,male,#1F51FF
-2.2798187776737477,-1.965454956772821,-0.9512625931215993,HG00105,GBR,EUR,male,#1F51FF
-1.884228450936739,-2.035835048500146,-0.6868293394014209,HG00106,GBR,EUR,female,#1F51FF
-1.8090901116686036,-2.0052566309724766,-0.4284952982143448,HG00107,GBR,EUR,male,#1F51FF
-1.7752867256999627,-2.0670879634865615,-0.4778450321939886,HG00108,GBR,EUR,male,#1F51FF
-2.5489471663420646,-1.3526771900203423,-0.09436602314942089,HG00109,GBR,EUR,male,#1F51FF
-1.9032373006115308,-2.7762482090695184,-1.0931530765168824,HG00110,GBR,EUR,female,#1F51FF
-2.1637158294113465,-2.8771076624698715,-1.0999010200190336,HG00111,GBR,EUR,female,#1F51FF
-2.3675831141269637,-2.502593996419395,-0.6789003689674626,HG00112,GBR,EUR,male,#1F51FF
-2.1631979733075073,-2.583297369757785,-0.8137182975470684,HG00113,GBR,EUR,male,#1F51FF
-2.014687357508493,-2.3410166679212803,-1.0351435371706346,HG00114,GBR,EUR,male,#1F51FF
-1.8036668167831142,-1.793701261861418,-0.950958716828231,HG00115,GBR,EUR,male,#1F51FF
-1.5485631754896991,-1.861865571567027,-0.9578784706906105,HG00116,GBR,EUR,male,#1F51FF
-2.167084894495302,-2.2711284386819894,-0.7995914183223966,HG00117,GBR,EUR,male,#1F51FF
-2.1598052138321395,-1.7006906850976857,-0.2734356922494425,HG00118,GBR,EUR,female,#1F51FF
-1.9301155181399798,-2.1404300284692863,-1.291666840164993,HG00119,GBR,EUR,male,#1F51FF
-1.9668084896206688,-2.6120157844809917,-0.3385974255511268,HG00120,GBR,EUR,female,#1F51FF
-1.9648152004257102,-1.8395445579890342,-0.3523421154104517,HG00121,GBR,EUR,female,#1F51FF
-1.7588290185324107,-1.9638215251648,-1.247378940308408,HG00122,GBR,EUR,female,#1F51FF
-2.1054115001614244,-2.162294190145297,-0.797040479347839,HG00123,GBR,EUR,female,#1F51FF
-1.4819635166791763,-2.609887224768461,-0.39709260341578406,HG00125,GBR,EUR,female,#1F51FF
-2.0877305258891687,-2.3894243651741944,-0.9848335366501022,HG00126,GBR,EUR,male,#1F51FF
-1.6337373274642144,-2.2565403398140718,-0.830803351003563,HG00127,GBR,EUR,female,#1F51FF
-2.124260920442013,-2.5725044132385113,-0.657033532782787,HG00128,GBR,EUR,female,#1F51FF
-1.634692969645964,-2.2223697024126534,-0.6771570866612348,HG00129,GBR,EUR,male,#1F51FF
-2.0902422025468734,-1.6608318661612975,-1.144736728354555,HG00130,GBR,EUR,female,#1F51FF
-1.94689458093585,-2.4053637786041273,-1.116932428258511,HG00131,GBR,EUR,male,#1F51FF
-1.8663229371310817,-2.177285532232661,-1.3497308607365768,HG00132,GBR,EUR,female,#1F51FF
-2.1364733055076055,-2.3704290194863598,-0.6410033213822255,HG00133,GBR,EUR,female,#1F51FF
-1.840316639081099,-2.289306015388386,-0.006261747542467138,HG00136,GBR,EUR,male,#1F51FF
-1.4122968557029747,-2.701197377808059,-0.36026042782845735,HG00137,GBR,EUR,female,#1F51FF
-2.23946157246362,-2.577393694975715,-0.6452022465612058,HG00138,GBR,EUR,male,#1F51FF
-1.8582200481230797,-1.7712061751943589,-1.0032242253742532,HG00139,GBR,EUR,male,#1F51FF
-1.5009959381280833,-2.7016022116980274,-1.1284329416636085,HG00140,GBR,EUR,male,#1F51FF
-1.421285287330843,-1.6639692691919221,-0.5393988698453356,HG00141,GBR,EUR,male,#1F51FF
-1.8647746236621712,-1.7461010067290128,-1.119516734882075,HG00142,GBR,EUR,male,#1F51FF
-1.4015850544229802,-1.9875369657125046,-0.3092413047432272,HG00143,GBR,EUR,male,#1F51FF
-2.2190692097966793,-2.306859794994222,-1.2698998499636747,HG00145,GBR,EUR,male,#1F51FF
-1.1801463157355405,-2.3848840603277344,-0.9923007242113948,HG00146,GBR,EUR,female,#1F51FF
-2.328516211377837,-1.9824178387397255,-0.46487984181308045,HG00148,GBR,EUR,male,#1F51FF
-1.845223650624344,-2.5792850393837043,-0.34018439935814715,HG00149,GBR,EUR,male,#1F51FF
-2.1011121935458146,-2.1418378621340954,-0.8618452627903724,HG00150,GBR,EUR,female,#1F51FF
-1.7904888204645029,-2.4908724116174024,-1.2527508112888408,HG00151,GBR,EUR,male,#1F51FF
-1.5172422207191196,-1.8437343293068196,-1.130691935953404,HG00154,GBR,EUR,female,#1F51FF
-2.1640209783427142,-2.458359740765383,-0.7245219917834247,HG00155,GBR,EUR,male,#1F51FF
-1.7374196923838814,-2.2356412233799707,-1.5084036348183258,HG00157,GBR,EUR,male,#1F51FF
-2.095384423352881,-2.451906068853641,-1.0395486463761578,HG00158,GBR,EUR,female,#1F51FF
-1.3860253422205575,-2.346070184917633,-0.4068040761320067,HG00159,GBR,EUR,male,#1F51FF
-2.2702019952076085,-2.4546272938312406,-0.5719767237006722,HG00160,GBR,EUR,male,#1F51FF
-1.8078820849146178,-1.8452877474834544,-0.7097418766520183,HG00171,FIN,EUR,female,#1F51FF
-2.115216508442155,-1.382918809955474,-1.178649623500285,HG00173,FIN,EUR,female,#1F51FF
-1.6907592016308302,-2.4295476322387204,-1.5314367771894333,HG00174,FIN,EUR,female,#1F51FF
-1.93545633314794,-2.6677244180102653,-0.5212158699673057,HG00176,FIN,EUR,female,#1F51FF
-2.2481710630714304,-1.9160056619774328,-1.3664859172531003,HG00177,FIN,EUR,female,#1F51FF
-2.139063569690849,-1.8458394843041994,-0.7505950351155948,HG00178,FIN,EUR,female,#1F51FF
-1.9248666041296438,-2.387848808139851,-0.47345818427334807,HG00179,FIN,EUR,female,#1F51FF
-2.5248881135842463,-1.9658163461530802,0.2652761921128528,HG00180,FIN,EUR,female,#1F51FF
-1.8773734216186195,-2.8336947262631482,-1.4073363642008507,HG00181,FIN,EUR,male,#1F51FF
-2.240668878388377,-2.6567177227548084,-0.5669930775719058,HG00182,FIN,EUR,male,#1F51FF
-1.9673916400992764,-2.1005922814455484,-0.12847487383467807,HG00183,FIN,EUR,male,#1F51FF
-2.1528309395238985,-2.0578649581499717,-0.9435521092646344,HG00185,FIN,EUR,male,#1F51FF
-2.251367931829043,-2.1076329891921506,-0.41368367747354573,HG00186,FIN,EUR,male,#1F51FF
-2.0970772581164447,-1.7707510080923803,-0.5066496735052004,HG00187,FIN,EUR,male,#1F51FF
-2.500007888816854,-1.645039051145755,-0.6152924676674121,HG00188,FIN,EUR,male,#1F51FF
-1.2953215031712297,-2.2238002664703234,-0.5238550468117839,HG00189,FIN,EUR,male,#1F51FF
-2.17328638941342,-1.8893822248264986,-0.040019877753917375,HG00190,FIN,EUR,male,#1F51FF
-1.857489126853462,-2.474252860966126,-0.4825060236001246,HG00231,GBR,EUR,female,#1F51FF
-1.7766484739325694,-2.3613592145108333,-1.3606429078671491,HG00232,GBR,EUR,female,#1F51FF
-1.8151768854329227,-2.516793260656825,-0.46793938168394694,HG00233,GBR,EUR,female,#1F51FF
-2.326431643394073,-2.612532375963022,-0.9925094534605237,HG00234,GBR,EUR,male,#1F51FF
-2.0992751005156065,-1.7009579312676557,-1.4435285400660207,HG00235,GBR,EUR,female,#1F51FF
-2.3209809431927133,-2.5076583023352295,-1.5851927803537713,HG00236,GBR,EUR,female,#1F51FF
-1.894353132278839,-2.169549704162873,-0.8414927749227072,HG00237,GBR,EUR,female,#1F51FF
-2.0323137011262067,-2.348067231730479,-0.2767978652132474,HG00238,GBR,EUR,female,#1F51FF
-1.86464216385861,-2.333950397544943,-0.7391090534057497,HG00239,GBR,EUR,female,#1F51FF
-1.4884594440647172,-2.1522590359658977,-0.8695164049662499,HG00240,GBR,EUR,female,#1F51FF
-1.5969877331972244,-2.34240399633885,-0.7293289830816784,HG00242,GBR,EUR,male,#1F51FF
-1.7734684446165199,-2.871340129077352,-1.2113639800298923,HG00243,GBR,EUR,male,#1F51FF
-1.7607499575765957,-2.6053495649267693,-0.7367622737611763,HG00244,GBR,EUR,male,#1F51FF
-2.1644831162856564,-2.057705274004902,-0.6875965883047971,HG00245,GBR,EUR,female,#1F51FF
-1.8905423973884279,-1.5699497350536233,-0.49607382760164304,HG00246,GBR,EUR,male,#1F51FF
-1.3355947037067006,-2.5493947508554964,-0.7725100472120884,HG00250,GBR,EUR,female,#1F51FF
-2.307128561517755,-2.2168814926983664,-0.9805062496498471,HG00251,GBR,EUR,male,#1F51FF
-2.030763438510578,-2.3440946387181056,-1.1412016530918858,HG00252,GBR,EUR,male,#1F51FF
-2.5876254246599406,-2.17371896997477,-0.03701186928679775,HG00253,GBR,EUR,female,#1F51FF
-1.593084326121596,-2.409958780428633,-0.3338070812288695,HG00254,GBR,EUR,female,#1F51FF
-1.8180836174433432,-2.913667563103409,-0.787790132612425,HG00255,GBR,EUR,female,#1F51FF
-1.9269480995703356,-1.6339987901026503,-0.4723442277484827,HG00256,GBR,EUR,male,#1F51FF
-2.2865207085385135,-2.0379925702401924,-0.9802866237831697,HG00257,GBR,EUR,female,#1F51FF
-2.372821114750812,-2.2028060950880364,-0.45370072511195325,HG00258,GBR,EUR,female,#1F51FF
-1.7859457313770948,-2.356190068753989,-1.0500104313620822,HG00259,GBR,EUR,female,#1F51FF
-1.6069898149545483,-2.438393071396075,-0.8685054851726883,HG00260,GBR,EUR,male,#1F51FF
-1.6230680769132786,-2.342761970346864,-0.4960560527603673,HG00261,GBR,EUR,female,#1F51FF
-2.1620616486487263,-2.5375524521479407,-0.8451740820069042,HG00262,GBR,EUR,female,#1F51FF
-2.109098588790614,-2.4060440772678233,-1.0303891513150283,HG00263,GBR,EUR,female,#1F51FF
-1.9005883213828336,-2.1504836997028307,-0.5220787714255171,HG00264,GBR,EUR,male,#1F51FF
-2.1230794113097162,-2.6436237681965986,-0.3955845695007932,HG00265,GBR,EUR,male,#1F51FF
-1.8060352355276224,-1.855288201340141,-0.15667655655100982,HG00266,FIN,EUR,female,#1F51FF
-1.8812242602164784,-1.8653065862915952,-1.0486288170469642,HG00267,FIN,EUR,male,#1F51FF
-2.2177968084034436,-2.2101366723721814,-0.9083851995449284,HG00268,FIN,EUR,female,#1F51FF
-1.6587726533491831,-1.5785445170373855,-0.5753186267824327,HG00269,FIN,EUR,female,#1F51FF
-2.3022311135721525,-2.0123068417170886,-0.5157442016580819,HG00271,FIN,EUR,male,#1F51FF
-2.1275820419360962,-1.4873688157344809,-0.16257878634123468,HG00272,FIN,EUR,female,#1F51FF
-1.828546745494366,-1.909571159612641,-0.4625620467748801,HG00273,FIN,EUR,male,#1F51FF
-2.1479018433240658,-2.31660443132812,-0.7130241002847084,HG00274,FIN,EUR,female,#1F51FF
-2.013677272972877,-1.5807358399208333,-0.4941306508633194,HG00275,FIN,EUR,female,#1F51FF
