x,y,z,sample,pop,super_pop,gender,color
-1.573658051073798,-1.8783829589392893,-0.8917855737989228,HG00096,GBR,EUR,male,#1F51FF
-1.7650327212058035,-1.8038886363887474,-0.46407035104341704,HG00097,GBR,EUR,female,#1F51FF
-1.8639866093089232,-1.9380993962410464,-0.36937388510513225,HG00099,GBR,EUR,female,#1F51FF
-2.5030453162250987,-2.2492745149560354,-0.5399167778120099,HG00100,GBR,EUR,female,#1F51FF
-2.1364279952147336,-2.139968213520933,-0.4971561246572353,HG00101,GBR,EUR,male,#1F51FF
-2.0209897348812302,-2.4261715687756658,-0.7793081046956596,HG00102,GBR,EUR,female,#1F51FF
-1.9442126539790516,-2.5278834759336113,-0.5979009755573629,HG00103,GBR,EUR,male,#1F51FF
-2.2798187772130603,-1.965454956831729,-0.9456466775199405,HG00105,GBR,EUR,male,#1F51FF
-1.88422845099729,-2.0358350489174026,-0.6863103674138288,HG00106,GBR,EUR,female,#1F51FF
-1.8090901122704435,-2.005256650559517,-0.4285800665186216,HG00107,GBR,EUR,male,#1F51FF
-1.775286725323982,-2.067087951164692,-0.47736139366709607,HG00108,GBR,EUR,male,#1F51FF
-2.5489471666973205,-1.3526772444832351,-0.09418791850269463,HG00109,GBR,EUR,male,#1F51FF
-1.9032373007454892,-2.776248241015656,-1.090768937376222,HG00110,GBR,EUR,female,#1F51FF
-2.1637158295502017,-2.8771076891983833,-1.0968794130835005,HG00111,GBR,EUR,female,#1F51FF
-2.3675831145777937,-2.502594013767464,-0.6795446982728113,HG00112,GBR,EUR,male,#1F51FF
-2.1631979734916116,-2.5832973648621733,-0.8146738022983679,HG00113,GBR,EUR,male,#1F51FF
-2.0146873581205904,-2.3410167051607513,-1.0327446608052653,HG00114,GBR,EUR,male,#1F51FF
-1.8036668171376053,-1.7937012895225095,-0.9509397093062456,HG00115,GBR,EUR,male,#1F51FF
-1.548563175522481,-1.8618655830188557,-0.9574070889768,HG00116,GBR,EUR,male,#1F51FF
-2.167084894576552,-2.271128448313693,-0.7974849956267634,HG00117,GBR,EUR,male,#1F51FF
-2.1598052139017216,-1.700690688212666,-0.2741835365181135,HG00118,GBR,EUR,female,#1F51FF
-1.9301155178614855,-2.1404300192190897,-1.2916234630015093,HG00119,GBR,EUR,male,#1F51FF
-1.966808489813171,-2.6120158276567027,-0.3383667847995493,HG00120,GBR,EUR,female,#1F51FF
-1.9648152013565965,-1.8395446232472121,-0.3500631783592756,HG00121,GBR,EUR,female,#1F51FF
-1.7588290186262154,-1.9638215368817569,-1.2461938478405752,HG00122,GBR,EUR,female,#1F51FF
-2.105411499974229,-2.1622941474252855,-0.8006212538612333,HG00123,GBR,EUR,female,#1F51FF
-1.4819635166116907,-2.609887224455232,-0.40049614874271466,HG00125,GBR,EUR,female,#1F51FF
-2.0877305256309966,-2.3894243409422278,-0.986591786484836,HG00126,GBR,EUR,male,#1F51FF
-1.6337373280057872,-2.256540387132723,-0.8276602883749866,HG00127,GBR,EUR,female,#1F51FF
-2.1242609205519463,-2.5725044297510102,-0.6549515343798629,HG00128,GBR,EUR,female,#1F51FF
-1.6346929692081897,-2.222369655098619,-0.6806392008073382,HG00129,GBR,EUR,male,#1F51FF
-2.09024220255051,-1.6608318877549928,-1.1431761105782186,HG00130,GBR,EUR,female,#1F51FF
-1.9468945811433211,-2.405363783521719,-1.1200372190039307,HG00131,GBR,EUR,male,#1F51FF
-1.866322937715661,-2.1772855332317365,-1.352389200109522,HG00132,GBR,EUR,female,#1F51FF
-2.1364733055516862,-2.3704290022748244,-0.6407839638282414,HG00133,GBR,EUR,female,#1F51FF
-1.8403166392727297,-2.2893060450037654,-0.00708507333541662,HG00136,GBR,EUR,male,#1F51FF
-1.412296856257686,-2.7011973799587503,-0.36098758966121686,HG00137,GBR,EUR,female,#1F51FF
-2.2394615723223343,-2.5773937115474532,-0.6448073449713533,HG00138,GBR,EUR,male,#1F51FF
-1.8582200478594553,-1.7712061848788103,-1.0024218525462385,HG00139,GBR,EUR,male,#1F51FF
-1.50099593831918,-2.701602199309634,-1.1301964742679105,HG00140,GBR,EUR,male,#1F51FF
-1.4212852874649142,-1.6639692826571482,-0.5357911924469891,HG00141,GBR,EUR,male,#1F51FF
-1.8647746234418332,-1.7461009748626708,-1.1217747119749166,HG00142,GBR,EUR,male,#1F51FF
-1.401585054045687,-1.987536933817074,-0.3115039519685546,HG00143,GBR,EUR,male,#1F51FF
-2.2190692102243057,-2.306859773265774,-1.2698293167195445,HG00145,GBR,EUR,male,#1F51FF
-1.1801463166674504,-2.384884084091952,-0.9976389311408008,HG00146,GBR,EUR,female,#1F51FF
-2.3285162115772224,-1.9824178879965362,-0.46358894795487343,HG00148,GBR,EUR,male,#1F51FF
-1.8452236514669067,-2.5792850679331547,-0.34022096417028713,HG00149,GBR,EUR,male,#1F51FF
-2.101112193509694,-2.141837886405625,-0.8621530648880995,HG00150,GBR,EUR,female,#1F51FF
-1.7904888208707475,-2.4908724168048235,-1.2533717045223225,HG00151,GBR,EUR,male,#1F51FF
-1.517242220053577,-1.843734348874544,-1.1301284120252528,HG00154,GBR,EUR,female,#1F51FF
-2.1640209791789156,-2.4583597651986024,-0.7243132842977047,HG00155,GBR,EUR,male,#1F51FF
-1.73741969271698,-2.2356411876507574,-1.5088075240579126,HG00157,GBR,EUR,male,#1F51FF
-2.095384423261658,-2.4519061020305624,-1.0406655766164297,HG00158,GBR,EUR,female,#1F51FF
-1.3860253429308054,-2.3460702297235945,-0.40677618369127666,HG00159,GBR,EUR,male,#1F51FF
-2.2702019947067957,-2.454627288660429,-0.5707853166261871,HG00160,GBR,EUR,male,#1F51FF
-1.8078820856875917,-1.8452877486812604,-0.7064639766340691,HG00171,FIN,EUR,female,#1F51FF
-2.115216508626402,-1.382918838518497,-1.1749198930850058,HG00173,FIN,EUR,female,#1F51FF
-1.6907592014737258,-2.4295476285077244,-1.5306285371044224,HG00174,FIN,EUR,female,#1F51FF
-1.9354563327321135,-2.667724455006433,-0.519187945527952,HG00176,FIN,EUR,female,#1F51FF
-2.2481710632106657,-1.9160056693224539,-1.3681096608724772,HG00177,FIN,EUR,female,#1F51FF
-2.1390635699651948,-1.8458395225790971,-0.7472642748952065,HG00178,FIN,EUR,female,#1F51FF
-1.9248666050471996,-2.387848893787465,-0.4659642277217626,HG00179,FIN,EUR,female,#1F51FF
-2.524888114155308,-1.9658163824469457,0.2660021026982805,HG00180,FIN,EUR,female,#1F51FF
-1.8773734221399887,-2.833694743336446,-1.4070721703834834,HG00181,FIN,EUR,male,#1F51FF
-2.2406688788630214,-2.656717785538032,-0.5631451455503466,HG00182,FIN,EUR,male,#1F51FF
-1.9673916402526905,-2.100592292912563,-0.12786377685821462,HG00183,FIN,EUR,male,#1F51FF
-2.1528309393883873,-2.0578649278257517,-0.9417644667706304,HG00185,FIN,EUR,male,#1F51FF
-2.251367931648557,-2.1076329673025387,-0.4145430668425526,HG00186,FIN,EUR,male,#1F51FF
-2.097077257875625,-1.77075098415635,-0.5071827948968414,HG00187,FIN,EUR,male,#1F51FF
-2.5000078890374087,-1.645039065253679,-0.6172748473582312,HG00188,FIN,EUR,male,#1F51FF
-1.2953215033153782,-2.2238002495707945,-0.5271484174408946,HG00189,FIN,EUR,male,#1F51FF
-2.1732863898448045,-1.8893822508488671,-0.039182084901544,HG00190,FIN,EUR,male,#1F51FF
-1.8574891269360991,-2.474252853980038,-0.4846147800807699,HG00231,GBR,EUR,female,#1F51FF
-1.7766484737732529,-2.3613591712449535,-1.3636659157146758,HG00232,GBR,EUR,female,#1F51FF
-1.8151768861487376,-2.516793310390987,-0.4611526719113565,HG00233,GBR,EUR,female,#1F51FF
-2.3264316440912745,-2.6125324156424092,-0.9876695073598067,HG00234,GBR,EUR,male,#1F51FF
-2.0992751003232915,-1.7009579014760436,-1.4457891005337402,HG00235,GBR,EUR,female,#1F51FF
-2.3209809433151247,-2.5076583196149183,-1.5853196030102057,HG00236,GBR,EUR,female,#1F51FF
-1.894353132404181,-2.1695497089507048,-0.8443093413105893,HG00237,GBR,EUR,female,#1F51FF
-2.0323137010072037,-2.3480672616115914,-0.275027156286956,HG00238,GBR,EUR,female,#1F51FF
-1.8646421639199828,-2.333950399137189,-0.7434242106199851,HG00239,GBR,EUR,female,#1F51FF
-1.4884594431137024,-2.1522590074011996,-0.8693039870699512,HG00240,GBR,EUR,female,#1F51FF
-1.5969877334367848,-2.3424040308322738,-0.7279164785685703,HG00242,GBR,EUR,male,#1F51FF
-1.7734684451059435,-2.871340158070514,-1.211235261237956,HG00243,GBR,EUR,male,#1F51FF
-1.7607499581595742,-2.605349570513656,-0.7339377472991526,HG00244,GBR,EUR,male,#1F51FF
-2.1644831159057807,-2.057705238632965,-0.689104275631582,HG00245,GBR,EUR,female,#1F51FF
-1.8905423973162445,-1.5699497180769575,-0.4994674701428792,HG00246,GBR,EUR,male,#1F51FF
-1.3355947037965694,-2.5493947460115742,-0.7709607565886085,HG00250,GBR,EUR,female,#1F51FF
-2.3071285622208104,-2.216881528953044,-0.9820674879197077,HG00251,GBR,EUR,male,#1F51FF
-2.0307634390532936,-2.344094629550191,-1.1416384265436574,HG00252,GBR,EUR,male,#1F51FF
-2.5876254242608834,-2.173718964969603,-0.038150173438679,HG00253,GBR,EUR,female,#1F51FF
-1.5930843263957244,-2.4099588156786944,-0.33602291306303256,HG00254,GBR,EUR,female,#1F51FF
-1.818083617573211,-2.9136676057505904,-0.785924064774208,HG00255,GBR,EUR,female,#1F51FF
-1.9269480998713444,-1.6339987728997352,-0.4724635456892654,HG00256,GBR,EUR,male,#1F51FF
-2.2865207083583536,-2.037992559995825,-0.9764768681101038,HG00257,GBR,EUR,female,#1F51FF
-2.3728211147347875,-2.2028060652994284,-0.45675436564470695,HG00258,GBR,EUR,female,#1F51FF
-1.7859457307581512,-2.3561900487494873,-1.0517164986769607,HG00259,GBR,EUR,female,#1F51FF
-1.6069898147675654,-2.4383930999187484,-0.8714470450787413,HG00260,GBR,EUR,male,#1F51FF
-1.623068077164589,-2.3427619429101996,-0.49896310289744317,HG00261,GBR,EUR,female,#1F51FF
-2.1620616487860786,-2.537552450753322,-0.8423045559823041,HG00262,GBR,EUR,female,#1F51FF
-2.109098589703063,-2.4060441507823547,-1.0318771860570597,HG00263,GBR,EUR,female,#1F51FF
-1.900588320790271,-2.1504836678055446,-0.5244671039803841,HG00264,GBR,EUR,male,#1F51FF
-2.1230794117105223,-2.643623778446432,-0.39978380539280023,HG00265,GBR,EUR,male,#1F51FF
-1.806035234335852,-1.8552881811080617,-0.15769415583383012,HG00266,FIN,EUR,female,#1F51FF
-1.8812242609374135,-1.8653066221911654,-1.0469311697228727,HG00267,FIN,EUR,male,#1F51FF
-2.2177968090671327,-2.2101366657605963,-0.90928063852343,HG00268,FIN,EUR,female,#1F51FF
-1.6587726529221254,-1.5785445385799153,-0.5764641675913157,HG00269,FIN,EUR,female,#1F51FF
-2.3022311136481024,-2.0123068851046675,-0.5118914021614414,HG00271,FIN,EUR,male,#1F51FF
-2.1275820425493484,-1.487368877160123,-0.15893268072330613,HG00272,FIN,EUR,female,#1F51FF
-1.8285467456052937,-1.9095712053493419,-0.4622277986524703,HG00273,FIN,EUR,male,#1F51FF
-2.14790184350686,-2.3166044680145874,-0.7051961820841125,HG00274,FIN,EUR,female,#1F51FF
-2.013677272978444,-1.5807358523322674,-0.4924167792554081,HG00275,FIN,EUR,female,#1F51FF
-2.1289160978754,-2.472304417642633,-0.24830750284339753,HG00276,FIN,EUR,female,#1F51FF
-2.2964257349515282,-2.3933148001736537,-0.5426832656554372,HG00277,FIN,EUR,male,#1F51FF
-1.8026792616508174,-1.7187777031979872,-0.9207242997511421,HG00278,FIN,EUR,male,#1F51FF
-1.6741589980110645,-2.2699322340687123,-0.876812365450507,HG00280,FIN,EUR,male,#1F51FF
-1.9745805642020535,-2.2678423122641487,-0.23022734346111773,HG00281,FIN,EUR,female,#1F51FF
-2.154189699624707,-2.062969535802513,-0.7434458513231974,HG00282,FIN,EUR,female,#1F51FF
-2.0217244675345705,-1.3244424825208423,-0.777599138458097,HG00284,FIN,EUR,male,#1F51FF
-2.3417354885697974,-2.1774796058963184,-0.765610638619082,HG00285,FIN,EUR,female,#1F51FF
-1.7467700452930501,-1.473503774572061,-0.8108550376114646,HG00288,FIN,EUR,female,#1F51FF
-2.2353928838931116,-1.9439127619262206,-1.1306823615349824,HG00290,FIN,EUR,male,#1F51FF
-1.9452106284322934,-1.8700438934033705,-1.1118436222144803,HG00304,FIN,EUR,female,#1F51FF
-2.076981058196261,-2.0018641444429286,-0.8501587537036023,HG00306,FIN,EUR,female,#1F51FF
-2.541767869305886,-1.3986941404336224,-0.8251813533592638,HG00308,FIN,EUR,male,#1F51FF
-2.1240543996499963,-2.0400145289383564,-1.415917515592389,HG00309,FIN,EUR,female,#1F51FF
-1.9903537361852863,-2.3842942861079126,-0.6197793810070197,HG00310,FIN,EUR,male,#1F51FF
-1.7873874151368285,-1.975904745931507,-0.19670971508115973,HG00311,FIN,EUR,male,#1F51FF
-2.589997826254149,-2.058937862640687,-0.6954424619589561,HG00313,FIN,EUR,female,#1F51FF
-2.2980606640920485,-1.0422608842064853,-0.8001669917203769,HG00315,FIN,EUR,female,#1F51FF
-1.8179811178955412,-2.009298211445354,-0.21548612521647034,HG00318,FIN,EUR,female,#1F51FF
-1.8402590000689691,-1.5583962092375825,-0.886969234620872,HG00319,FIN,EUR,female,#1F51FF
-1.6328765201758564,-1.9923354818102763,-1.5359620778958087,HG00320,FIN,EUR,female,#1F51FF
-1.771742410955749,-2.6000898531583836,-1.0246040230074027,HG00321,FIN,EUR,male,#1F51FF
-1.567605077471439,-1.8161659684609257,-0.5266073321343118,HG00323,FIN,EUR,female,#1F51FF
-1.579673517573004,-1.7428870451324152,-0.896228389775535,HG00324,FIN,EUR,female,#1F51FF
-1.9442591006040435,-1.8224120590495816,-0.609292640026482,HG00325,FIN,EUR,male,#1F51FF
-1.8391102521342881,-2.5614017728078453,-0.5431233718640018,HG00326,FIN,EUR,female,#1F51FF
-1.8736324864725726,-1.6284061538558425,-0.4384081414064599,HG00327,FIN,EUR,female,#1F51FF
-2.2130856514854993,-1.9332669348445373,-1.1017316907478516,HG00328,FIN,EUR,female,#1F51FF
-2.5919431579278314,-2.711395577294954,-1.0620779852131974,HG00329,FIN,EUR,male,#1F51FF
-2.045881719068072,-1.6433299843090001,-0.48730809632046707,HG00330,FIN,EUR,female,#1F51FF
-2.377552460112614,-2.0575413800208477,-0.769023487303777,HG00331,FIN,EUR,female,#1F51FF
-2.0129958802352617,-2.1077548913145434,-0.5129609957372134,HG00332,FIN,EUR,female,#1F51FF
-1.4881978664613176,-2.3857315601571196,-0.653487031034774,HG00334,FIN,EUR,female,#1F51FF
-2.078476325828535,-2.2792356418774324,-0.46636491956780907,HG00335,FIN,EUR,male,#1F51FF
-1.7472213196460726,-1.4839845936032252,-0.4425318554736724,HG00336,FIN,EUR,male,#1F51FF
-1.4397595433803756,-2.0924362091168267,-0.9027654713051466,HG00337,FIN,EUR,female,#1F51FF
-2.1989355676047686,-2.0106671882696,-0.02286017425117253,HG00338,FIN,EUR,male,#1F51FF
-1.966069615767296,-2.053505085012471,-0.41037070583372737,HG00339,FIN,EUR,female,#1F51FF
-2.1919623956112,-2.110428186584664,-0.25384258529731213,HG00341,FIN,EUR,male,#1F51FF
-2.141413380952722,-1.9250135468990175,-0.8634949906774445,HG00342,FIN,EUR,male,#1F51FF
-2.3361972238754123,-1.9539833404694738,-1.1368165026517036,HG00343,FIN,EUR,female,#1F51FF
-1.9354985547135686,-1.6729057289421765,-0.49924939336510393,HG00344,FIN,EUR,female,#1F51FF
-2.2250569750631857,-1.8289745316926462,0.3995800637556532,HG00345,FIN,EUR,male,#1F51FF
-1.9595596716761896,-2.619133756355327,-1.1015574464457356,HG00346,FIN,EUR,female,#1F51FF
-2.296702603856325,-1.5333495110732362,-0.12224359319831754,HG00349,FIN,EUR,female,#1F51FF
-2.1912497177190042,-2.4330678526203977,-1.0188236042852237,HG00350,FIN,EUR,female,#1F51FF
-2.3182825865659207,-2.152256153448793,-1.4288738128390746,HG00351,FIN,EUR,male,#1F51FF
-1.3504873658740262,-2.477593738081788,-0.7445270550532589,HG00353,FIN,EUR,female,#1F51FF
-1.5889860600225818,-1.480696223112124,-0.24937136872419902,HG00355,FIN,EUR,female,#1F51FF
-2.0170131163449416,-1.9199040598343546,-1.2087200346879905,HG00356,FIN,EUR,female,#1F51FF
-1.6884294806242972,-2.1043526760022346,-0.6735574404275542,HG00357,FIN,EUR,female,#1F51FF
-2.0420398653274208,-1.878616920027351,-0.7612614833322406,HG00358,FIN,EUR,male,#1F51FF
-2.2519411401004565,-2.2339794670763147,-1.4335000035042837,HG00360,FIN,EUR,male,#1F51FF
-1.930407716217628,-1.8484321344867423,-0.4088484367022864,HG00361,FIN,EUR,female,#1F51FF
-1.56988917588372,-1.5409198640365807,-0.3434822570950905,HG00362,FIN,EUR,female,#1F51FF
-2.43641237708278,-2.1536298728392165,-1.5835127089329972,HG00364,FIN,EUR,female,#1F51FF
-2.131359100391839,-2.2427605279993745,-0.9112368021671757,HG00365,FIN,EUR,female,#1F51FF
-2.0491998835279412,-2.443955947247868,-0.8563571946895858,HG00366,FIN,EUR,male,#1F51FF
-1.640990038341926,-2.7660391200655847,-1.2557352841728582,HG00367,FIN,EUR,female,#1F51FF
-2.15276388864801,-2.301510781618056,-0.39358228559243635,HG00368,FIN,EUR,female,#1F51FF
-1.7238183774806426,-1.9167891003947402,-1.1714678822446514,HG00369,FIN,EUR,male,#1F51FF
-2.2608331286529113,-2.195331107093065,-1.178318315098127,HG00371,FIN,EUR,male,#1F51FF
-2.054782789554885,-2.209127795346428,-0.9182635724260759,HG00372,FIN,EUR,male,#1F51FF
-2.2076753745703144,-1.8957769271646274,-0.3596035779754726,HG00373,FIN,EUR,female,#1F51FF
-2.2647495705570035,-2.7899796870926563,-0.21484682546662795,HG00375,FIN,EUR,male,#1F51FF
-2.200525636527391,-2.5773812770591413,-1.2800538694908414,HG00376,FIN,EUR,female,#1F51FF
-2.5710534888646612,-2.2202045085017525,-0.29577340642065947,HG00378,FIN,EUR,female,#1F51FF
-1.7054286388835938,-2.33247251718809,-0.44284407211723975,HG00379,FIN,EUR,female,#1F51FF
-1.7868363611661284,-2.160172078164447,-0.9828828386244303,HG00380,FIN,EUR,female,#1F51FF
-2.140688257848374,-1.84145513433359,-0.1709606694223217,HG00381,FIN,EUR,female,#1F51FF
