x,y,z,sample,pop,super_pop,gender,color,pop_zone
-1.5736580513695304,-1.878382967148464,-0.8911766780223828,HG00096,GBR,EUR,male,#6495ED,EUROPE
-1.7650327211295442,-1.8038885802560438,-0.46477709381342325,HG00097,GBR,EUR,female,#6495ED,EUROPE
-1.863986608699267,-1.9380993689937387,-0.3732779022215018,HG00099,GBR,EUR,female,#6495ED,EUROPE
-2.5030453164356583,-2.24927453086345,-0.5361839853758769,HG00100,GBR,EUR,female,#6495ED,EUROPE
-2.1364279948129923,-2.139968262104934,-0.5003919953457672,HG00101,GBR,EUR,male,#6495ED,EUROPE
-2.02098973422421,-2.4261715366998904,-0.7782812357694665,HG00102,GBR,EUR,female,#6495ED,EUROPE
-1.9442126536534399,-2.5278834647356754,-0.5982542962864216,HG00103,GBR,EUR,male,#6495ED,EUROPE
-2.2798187780012458,-1.9654549730580568,-0.9480701976601105,HG00105,GBR,EUR,male,#6495ED,EUROPE
-1.884228450732312,-2.0358350538879613,-0.6869885766300201,HG00106,GBR,EUR,female,#6495ED,EUROPE
-1.809090111543919,-2.0052566393050233,-0.4276287173762586,HG00107,GBR,EUR,male,#6495ED,EUROPE
-1.7752867258747738,-2.0670879457997073,-0.47734967996502853,HG00108,GBR,EUR,male,#6495ED,EUROPE
-2.548947166113066,-1.352677236798598,-0.0928058505228568,HG00109,GBR,EUR,male,#6495ED,EUROPE
-1.9032373006636878,-2.7762482385872405,-1.090283064475529,HG00110,GBR,EUR,female,#6495ED,EUROPE
-2.163715829450816,-2.877107702377165,-1.0986809655182217,HG00111,GBR,EUR,female,#6495ED,EUROPE
-2.3675831139507113,-2.5025940384609777,-0.6797143639809078,HG00112,GBR,EUR,male,#6495ED,EUROPE
-2.1631979730579394,-2.5832973518743483,-0.8146189476322685,HG00113,GBR,EUR,male,#6495ED,EUROPE
-2.0146873577146227,-2.3410166774828483,-1.0322111315213507,HG00114,GBR,EUR,male,#6495ED,EUROPE
-1.8036668171890424,-1.793701267093692,-0.9481046939271547,HG00115,GBR,EUR,male,#6495ED,EUROPE
-1.5485631758586589,-1.861865595899915,-0.9573327532623812,HG00116,GBR,EUR,male,#6495ED,EUROPE
-2.1670848945347045,-2.2711284478023375,-0.798682735229384,HG00117,GBR,EUR,male,#6495ED,EUROPE
-2.159805213610946,-1.700690730747228,-0.27563204113961715,HG00118,GBR,EUR,female,#6495ED,EUROPE
-1.9301155186446197,-2.1404300405359464,-1.2884059346352073,HG00119,GBR,EUR,male,#6495ED,EUROPE
-1.9668084899817975,-2.6120158277633916,-0.3377375362101751,HG00120,GBR,EUR,female,#6495ED,EUROPE
-1.964815200730588,-1.839544608203205,-0.35019265022367096,HG00121,GBR,EUR,female,#6495ED,EUROPE
-1.7588290191107343,-1.9638215165474493,-1.2461895427456073,HG00122,GBR,EUR,female,#6495ED,EUROPE
-2.1054115002714355,-2.1622941327499907,-0.796936280472147,HG00123,GBR,EUR,female,#6495ED,EUROPE
-1.4819635166246057,-2.6098872203914896,-0.3998944953672912,HG00125,GBR,EUR,female,#6495ED,EUROPE
-2.0877305256544862,-2.3894243256722616,-0.9858061241205502,HG00126,GBR,EUR,male,#6495ED,EUROPE
-1.6337373278782958,-2.2565403412066565,-0.8273243613676664,HG00127,GBR,EUR,female,#6495ED,EUROPE
-2.124260920425112,-2.572504416753659,-0.6576178217080553,HG00128,GBR,EUR,female,#6495ED,EUROPE
-1.6346929695384367,-2.2223696354981723,-0.6796961675743904,HG00129,GBR,EUR,male,#6495ED,EUROPE
-2.0902422022278504,-1.660831894061684,-1.1463662141143638,HG00130,GBR,EUR,female,#6495ED,EUROPE
-1.9468945808229228,-2.4053637332256144,-1.1176561988388445,HG00131,GBR,EUR,male,#6495ED,EUROPE
-1.8663229371771939,-2.177285508570138,-1.349989470227305,HG00132,GBR,EUR,female,#6495ED,EUROPE
-2.1364733054808944,-2.3704289783304078,-0.6421529011997599,HG00133,GBR,EUR,female,#6495ED,EUROPE
-1.840316639006348,-2.289306065724792,-0.006765595912839795,HG00136,GBR,EUR,male,#6495ED,EUROPE
-1.4122968560914533,-2.7011974062487845,-0.35996917839158127,HG00137,GBR,EUR,female,#6495ED,EUROPE
-2.239461572306485,-2.5773937054952962,-0.6455635160546919,HG00138,GBR,EUR,male,#6495ED,EUROPE
-1.858220047964671,-1.7712061774057721,-1.0035749609246827,HG00139,GBR,EUR,male,#6495ED,EUROPE
-1.5009959384966,-2.7016022023889374,-1.1284790064698376,HG00140,GBR,EUR,male,#6495ED,EUROPE
-1.421285287717756,-1.6639692888536652,-0.5367027601435259,HG00141,GBR,EUR,male,#6495ED,EUROPE
-1.864774623754742,-1.7461009501764093,-1.1208336715931115,HG00142,GBR,EUR,male,#6495ED,EUROPE
